Nome;Apelido;Email;Concelho;Escola
Nuno;Venda;nuno.venda@yopmail.com;Oeiras;Escola Secundária Sebastião e Silva
Andre;Santos;andre.santos@yopmail.com;Oeiras;Instituto de Tecnologias Náuticas
Andreia;Macias;andreia.macias@yopmail.com;Oeiras;Instituto de Tecnologias Náuticas
Pedro;Gouveia;pedro.gouveia@yopmail.com;Oeiras;Instituto de Tecnologias Náuticas
Ricardo;Louro;ricardo.louro@yopmail.com;Oeiras;Instituto de Tecnologias Náuticas
Joao;Oliveira;joao.oliveira@yopmail.com;Sintra;Escola Básica e Secundária Gama Barros
Jorge;Bronze;jorge.bronze@yopmail.com;Sintra;Escola Básica e Secundária Gama Barros
Nicolae;Francisco;nicolae.francisco@yopmail.com;Sintra;Escola Básica e Secundária Gama Barros
Tiago;Amaral;tiago.amaral@yopmail.com;Sintra;Escola Básica e Secundária Gama Barros
Aline;Gracio;aline.gracio@yopmail.com;Sintra;Escola Básica e Secundária Mestre Domingos Saraiva
Andre;Vornicu;andre.vornicu@yopmail.com;Sintra;Escola Básica e Secundária Mestre Domingos Saraiva
Pedro;Roque;pedro.roque@yopmail.com;Sintra;Escola Básica e Secundária Mestre Domingos Saraiva
Luis;Sousa;luis.sousa@yopmail.com;Sintra;Escola Básica e Secundária Padre Alberto Neto
Nuno;Costa;nuno.costa@yopmail.com;Sintra;Escola Básica e Secundária Padre Alberto Neto
Marco;Axente;marco.axente@yopmail.com;Sintra;Escola Profissional Alda Brandão de Vasconcelos
Mário;Azurara;mário.azurara@yopmail.com;Sintra;Escola Profissional Alda Brandão de Vasconcelos
Tiago;Salgado;tiago.salgado@yopmail.com;Sintra;Escola Profissional Alda Brandão de Vasconcelos
Ana;Santos;ana.santos@yopmail.com;Sintra;Escola Profissional de Recuperação do Património de Sintra
Paulo;Jeronimo;paulo.jeronimo@yopmail.com;Sintra;Escola Profissional de Recuperação do Património de Sintra
Alexander;Oliveira;alexander.oliveira@yopmail.com;Sintra;Escola Secundária de Mem Martins
Bruno;Galamas;bruno.galamas@yopmail.com;Sintra;Escola Secundária de Santa Maria
Goncalo;Sequeira;goncalo.sequeira@yopmail.com;Sintra;Escola Secundária de Santa Maria
Ricardo;Apel;ricardo.apel@yopmail.com;Sintra;Escola Secundária de Santa Maria
Alejandro;Nunes;alejandro.nunes@yopmail.com;Sintra;Escola Secundária Ferreira Dias
Carlos;Ferrolho;carlos.ferrolho@yopmail.com;Sintra;Escola Secundária Ferreira Dias
Goncalo;Figueira;goncalo.figueira@yopmail.com;Sintra;Escola Secundária Ferreira Dias
Joao;Pires;joao.pires@yopmail.com;Sintra;Escola Secundária Ferreira Dias
Antonia;Magalhaes;antonia.magalhaes@yopmail.com;Sintra;Escola Secundária Leal da Câmara
Brigida;Afonso;brigida.afonso@yopmail.com;Sintra;Escola Secundária Leal da Câmara
Caetano;Fernandes;caetano.fernandes@yopmail.com;Sintra;Escola Secundária Matias Aires
Edgar;Palma;edgar.palma@yopmail.com;Sintra;Escola Secundária Miguel Torga
Ricardo;Galrao;ricardo.galrao@yopmail.com;Sintra;Escola Secundária Miguel Torga
Jorg;Mendes;jorg.mendes@yopmail.com;Sintra;Escola Secundária Stuart Carvalhais
Tiago;Reis;tiago.reis@yopmail.com;Sintra;Escola Secundária Stuart Carvalhais
Vitor;Ambaram;vitor.ambaram@yopmail.com;Sintra;Escola Secundária Stuart Carvalhais
